연번,군구명,병원종별,의료기관명,소재지,연락처,병실수,병상수,진료과목,비고
1914,남동구,치과의원,조은치과의원,"인천광역시 남동구 서창남순환로216번길 17, 304호 (서창동, 스카이플러스)",032-467-2879,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1915,남동구,치과의원,주사랑치과의원,인천광역시 남동구 호구포로 796 (구월동),032-463-0428,0,0,치과 통합치의학과,
1916,남동구,의원,주손척척의원,"인천광역시 남동구 논현역로 4, 이지프라자 2층 일부호, 5층 일부호 (논현동)",032-464-6979,0,0,내과 마취통증의학과 정형외과 소아청소년과 재활의학과 가정의학과,
1917,남동구,의원,주안상쾌한속내과의원,"인천광역시 남동구 석정로 483, 2,3층 (간석동)",032-861-8875,0,0,피부과 이비인후과 소아청소년과 내과,
1918,남동구,치과의원,주안상쾌한치과의원,"인천광역시 남동구 석정로 483, 4층 (간석동)",032-715-7950,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과 치과,
1919,남동구,한의원,중국광원한의원,인천광역시 남동구 호구포로800번길 9 (구월동),032-466-1688,0,0,한방내과 한방소아과 한방안·이비인후·피부과 사상체질과 한방부인과 한방신경정신과 침구과 한방재활의학과,
1920,남동구,한의원,중화한의원,"인천광역시 남동구 만수로 43, 2층일부층 (만수동)",032-463-3888,0,0,한방내과 한방소아과 한방부인과 한방안·이비인후·피부과 한방신경정신과 침구과,
1921,남동구,한의원,지경욱한의원,"인천광역시 남동구 논고개로 121, 401호 (논현동, 에스닷몰)",032-465-0616,0,0,한방내과 한방소아과,
1922,남동구,의원,지오피부과의원,"인천광역시 남동구 청능대로 583, 302,303호 (논현동, 중앙프라자)",032-421-1090,0,0,피부과,
1923,남동구,한의원,차앤미한의원,"인천광역시 남동구 남동대로 892, 3층 (간석동, 일주빌딩)",032-435-1075,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1924,남동구,의원,차외과의원,인천광역시 남동구 인주대로 643 (구월동),032-461-5123,9,17,외과,
1925,남동구,한의원,차한의원,"인천광역시 남동구 서창남순환로 223, A동 5층 506호 (서창동, 아페리온)",032-466-4663,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 침구과,
1926,남동구,의원,찬솔외과의원,"인천광역시 남동구 논고개로 85, 503,504,505호 (논현동)",032-715-8102,7,18,외과,
1927,남동구,의원,참빛마취통증의학과의원,인천광역시 남동구 구월로 284 (구월동),032-464-0625,0,0,마취통증의학과 가정의학과 재활의학과 정형외과 신경과,
1928,남동구,의원,참사랑의원,"인천광역시 남동구 백범로 204, 2층 (만수동)",032-461-1231,0,0,가정의학과,
1929,남동구,의원,참정신건강의학과의원,"인천광역시 남동구 인하로 497-5, 13층 3호 (구월동, 푸른세상안과)",032-421-7738,0,0,정신건강의학과 신경과,
1930,남동구,의원,참조은내과의원,"인천광역시 남동구 에코중앙로156번길 5-19, 2층 (논현동)",032-446-1273,0,0,소아청소년과 내과 정신건강의학과 정형외과 산부인과 안과 피부과 병리과 가정의학과 이비인후과,
1931,남동구,의원,참조은정형외과의원,"인천광역시 남동구 남동대로 875, 2층 (간석동)",032-432-0977,0,0,정형외과 재활의학과 마취통증의학과 내과 외과 피부과 신경외과,
1932,남동구,치과의원,참조은치과의원,"인천광역시 남동구 만수로 9, 2층 (만수동)",032-462-2800,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 예방치과 통합치의학과,
1933,남동구,치과의원,참좋은부부치과의원,"인천광역시 남동구 용천로 68, 501호 (구월동, 써니프라자)",032-465-2055,0,0,치과 통합치의학과,
1934,남동구,의원,참편한가정의원,"인천광역시 남동구 서창남순환로 140, 더포레스트아파트상가동 2층 202,203,204호 (서창동, 더포레스트)",032-472-7585,0,0,가정의학과 피부과 이비인후과 소아청소년과 신경외과 정형외과 외과 내과,
1935,남동구,치과의원,창대치과의원,"인천광역시 남동구 장승로 25, 5동 202호 (만수동, 장승백이상가)",032-462-2875,0,0,치과,
1936,남동구,의원,채움마취통증의학과의원,"인천광역시 남동구 석산로 159, 301호 (간석동, 보인플라자)",032-423-7582,0,0,마취통증의학과 내과 정형외과 신경외과 재활의학과,
1937,남동구,한의원,천지인한의원,"인천광역시 남동구 구월로 362, 2층 전체호 (만수동)",032-464-1120,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1938,남동구,한의원,청강한의원,"인천광역시 남동구 논고개로 307, 201호 (도림동)",032-425-8775,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1939,남동구,한의원,청구경희한의원,"인천광역시 남동구 청능대로 581, 301호 (논현동, 광성프라자)",032-423-1275,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1940,남동구,의원,청담이지성형외과의원,"인천광역시 남동구 인하로 497-5, 푸른세상안과 1201,1202호 (구월동)",032-422-0123,0,0,성형외과 이비인후과 피부과,
1941,남동구,한의원,청명한의원,"인천광역시 남동구 석정로 515, 3층 304호 (간석동)",032-423-1477,0,0,한방내과 한방안·이비인후·피부과 한방부인과 한방신경정신과 침구과 한방소아과 한방재활의학과,
1942,남동구,한의원,청원한의원,"인천광역시 남동구 백범로 123, 3층 302호 (만수동, 상지프라자)",032-471-1030,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1943,남동구,치과의원,청치과의원,"인천광역시 남동구 석산로 146, 가동 203호 (간석동, 금호어울림상가동)",032-433-1162,0,0,예방치과 구강내과 치과보존과 치주과 소아치과 치과보철과 구강악안면외과,
1944,남동구,한의원,초당한의원,인천광역시 남동구 만수로 65 (만수동),032-461-8756,0,0,한방내과 한방소아과,
1945,남동구,의원,최내과의원,인천광역시 남동구 호구포로 885 (간석동),032-423-2313,0,0,내과,
1946,남동구,의원,최동열비뇨기과의원,"인천광역시 남동구 남동대로 875, 3층 일부호 (간석동)",032-428-5741,1,2,비뇨의학과 피부과,
1947,남동구,의원,최병길내과의원,인천광역시 남동구 석산로 146 (간석동),032-431-6220,0,0,내과,
1948,남동구,의원,최앤박내과외과의원,"인천광역시 남동구 논고개로 114, 에이스타워 401,402,403,502호 (논현동)",032-441-7175,6,6,외과 성형외과 내과,
1949,남동구,한의원,최용준한의원,인천광역시 남동구 호구포로 790 (구월동),032-465-3662,0,0,한방내과 한방소아과,
1950,남동구,의원,최은혜소아청소년과의원,"인천광역시 남동구 만수서로 52, 쓰리제이프라자 202호 일부호,203,204호, 3층 304호 (만수동)",032-466-0365,0,0,가정의학과 피부과 이비인후과 소아청소년과 내과,
1951,남동구,의원,최이비인후과의원,인천광역시 남동구 문화서로4번길 2 (구월동),032-431-8958,0,0,이비인후과,
1952,남동구,의원,최재빈가정의학과의원,"인천광역시 남동구 석정로 571, 202호 (간석동, 정은A상가)",032-433-1751,0,0,가정의학과 내과 소아청소년과 이비인후과 피부과 비뇨의학과,
1953,남동구,의원,추원석내과의원,인천광역시 남동구 백범로 374 (간석동),032-422-3332,0,0,내과,
1954,남동구,치과의원,치유치과의원,"인천광역시 남동구 인주대로 664, 메인프라자 2차 4층 403호 (구월동)",032-472-2875,0,0,통합치의학과 예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과보철과 구강악안면외과,
1955,남동구,한의원,침맥한의원,"인천광역시 남동구 논고개로123번길 17, 514호 (논현동, 아이플렉스)",070-7739-7533,0,0,한방내과 한방안·이비인후·피부과 사상체질과 침구과 한방신경정신과 한방부인과 한방소아과 한방재활의학과,
1956,남동구,의원,케이톡스의원 인천구월점,"인천광역시 남동구 인하로507번길 4, 벽성빌딩 301호 (구월동)",032-719-7787,0,0,피부과 성형외과,
1957,남동구,의원,케이-하트 내과의원,"인천광역시 남동구 구월남로 172, 5층 일부(504,505)호 (구월동)",070-8671-3424,0,0,내과,
1958,남동구,의원,코끼리이비인후과의원,"인천광역시 남동구 경인로 520, 3층 304호 (간석동, 탑프라자2)",032-442-4420,0,0,응급의학과 직업환경의학과 가정의학과 피부과 이비인후과 안과 소아청소년과 성형외과 내과,
1959,남동구,한의원,코비한의원,"인천광역시 남동구 인주대로 580, 2층 (구월동, 동남빌딩)",032-435-1210,0,0,한방내과 한방안·이비인후·피부과 사상체질과 한방부인과 한방신경정신과 침구과 한방재활의학과 한방소아과,
1960,남동구,의원,코아이비인후과의원,"인천광역시 남동구 논고개로 121, 401,403호 (논현동, 에스닷몰)",032-439-0011,3,3,이비인후과 내과 소아청소년과 가정의학과,
1961,남동구,의원,쿨맨남성의원,"인천광역시 남동구 인하로 501, 8층 (구월동, 삼성디지털프라자)",032-439-0007,0,0,비뇨의학과 성형외과 피부과,
1962,남동구,의원,클린톡스의원,"인천광역시 남동구 논고개로 80, 나로프라자 2층 201호 (논현동)",032-423-3727,0,0,피부과,
1963,남동구,한의원,키우미한의원,"인천광역시 남동구 인하로507번길 9, 602호 (구월동, 하나프라자)",032-429-5675,0,0,한방내과 한방소아과 한방신경정신과 침구과,
1964,남동구,의원,키즈웰소아청소년과의원,"인천광역시 남동구 석산로 159, 401호 (간석동, 보인프라자)",032-426-7507,0,0,내과 소아청소년과 이비인후과,
1965,남동구,의원,타미성형외과의원,"인천광역시 남동구 인하로 497-5, 11층 (구월동, 푸른세상안과빌딩)",032-441-2325,0,0,성형외과 피부과 마취통증의학과,
1966,남동구,치과의원,탑치과의원,"인천광역시 남동구 백범로 123, 304호 (만수동, 상지프라자)",032-461-7528,0,0,치과,
1967,남동구,한의원,태백한의원,"인천광역시 남동구 백범로124번길 7, 나동 205호 (만수동, 만수주공상가)",032-467-1075,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1968,남동구,의원,트루맨남성의원,"인천광역시 남동구 인하로507번길 4, 802호 (구월동, 벽성빌딩)",070-7701-7909,0,0,비뇨의학과 성형외과,
1969,남동구,한의원,튼튼가족한의원,"인천광역시 남동구 호구포로 220, 2층 203호 (논현동, 명진프라자)",032-426-1175,0,0,한방내과 한방안·이비인후·피부과 사상체질과 한방부인과 한방신경정신과 침구과 한방소아과 한방재활의학과,
1970,남동구,한의원,튼튼마디한의원,"인천광역시 남동구 예술로 126, 3층 305호 (구월동)",032-721-8275,0,0,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
1971,남동구,의원,튼튼소아청소년과의원,"인천광역시 남동구 논고개로 61, 4층 402호 (논현동, 라피에스타)",032-432-3079,0,0,피부과 이비인후과 소아청소년과 내과,
1972,남동구,치과의원,튼튼아이치과의원,"인천광역시 남동구 구월로 212, 힐캐슬프라자 306,316호 (구월동)",032-461-2275,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1973,남동구,의원,티와이성형외과의원,"인천광역시 남동구 인하로507번길 24, 5층 (구월동)",032-441-3344,0,0,피부과 성형외과,
1974,남동구,의원,파티마의원,"인천광역시 남동구 만수로 7, 2,3층 (만수동)",032-471-9944,10,28,외과,
1975,남동구,치과의원,퍼스트치과의원,"인천광역시 남동구 논고개로 80, 나로프라자 5층 (논현동)",032-429-2275,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1976,남동구,치과의원,편한세상부부치과의원,인천광역시 남동구 호구포로 790 (구월동),032-466-2879,0,0,치과,
1977,남동구,한의원,평강한의원,인천광역시 남동구 구월로 366-1 (만수동),032-462-8815,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 사상체질과 침구과,
1978,남동구,치과의원,포도나무치과의원,"인천광역시 남동구 예술로 198, 지하3층 일부호 (구월동, CGV홈플러스)",032-421-2855,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1979,남동구,한의원,포메디한의원,"인천광역시 남동구 구월로 212, 2층 205호 (구월동, 힐캐슬프라자)",032-468-7526,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 침구과,
1980,남동구,한의원,푸른경희한의원,"인천광역시 남동구 남동대로370번길 119, 201호 (논현동, 견우프라자)",032-446-1075,0,0,한방내과 한방소아과 한방부인과 한방안·이비인후·피부과 한방신경정신과 침구과 한방재활의학과,
1981,남동구,의원,푸른맥외과의원,"인천광역시 남동구 인하로507번길 4, 801호 (구월동, 한성빌딩)",032-422-1113,0,0,외과,
1982,남동구,의원,푸른세상안과의원,"인천광역시 남동구 인하로 497-5, 푸른세상안과 501호,6층,707호 (구월동)",032-431-9999,2,4,안과,
1983,남동구,치과의원,푸른치과의원,"인천광역시 남동구 남동대로370번길 114, 201호 (논현동, 동보A상가)",032-446-2882,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1984,남동구,치과의원,프라임치과의원,"인천광역시 남동구 담방로 45, 201호 (만수동, 희망프라자)",032-463-1176,0,0,치과,
1985,남동구,한의원,프리허그한의원,"인천광역시 남동구 인하로507번길 74, 5층 502호 (구월동, 유진빌딩)",032-433-8269,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1986,남동구,치과의원,프린스앤프린세스치과의원,"인천광역시 남동구 남동대로 686, 4층 (구월동)",032-258-2875,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과 치과,
1987,남동구,치과의원,플러스치과의원,"인천광역시 남동구 경원대로 971, 2층 (간석동, 간석홈플러스)",032-876-2900,0,0,치과,
1988,남동구,의원,필의원,"인천광역시 남동구 구월로 223, 4층 401일부호 (구월동, 위너스프라자)",032-467-1186,0,0,피부과,
1989,남동구,한의원,하늘마음한의원,"인천광역시 남동구 예술로 126, 309호 (구월동)",032-519-5476,0,0,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
1990,남동구,치과의원,하늘부부치과의원,"인천광역시 남동구 호구포로 893, 2층 (간석동, 중앙빌딩)",032-432-2879,0,0,치과,
1991,남동구,한의원,하늘체한의원,"인천광역시 남동구 인하로 501, 5층 일부호 (구월동)",032-719-7275,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1992,남동구,의원,한나의원,"인천광역시 남동구 호구포로 812, 한빛하이존 401,402호 (구월동)",032-463-1077,0,0,내과 신경과 외과 정형외과 신경외과 마취통증의학과 소아청소년과 안과 이비인후과 피부과 비뇨의학과 가정의학과,
1993,남동구,의원,한마음산부인과의원,"인천광역시 남동구 인주대로 865, 2층 (만수동, 승창빌딩)",032-467-3687,0,0,산부인과,
1994,남동구,의원,한마음의원,인천광역시 남동구 인주대로 541 (구월동),032-432-7582,0,0,내과 신경과 외과 정형외과 소아청소년과 이비인후과 피부과 비뇨의학과 가정의학과,
1995,남동구,의원,한물결의원,"인천광역시 남동구 포구로 64-35, 2층 (논현동)",032-446-8275,0,0,내과 소아청소년과 피부과,
1996,남동구,의원,한빛산부인과의원,"인천광역시 남동구 서창남로 77, 301,302호 (서창동)",032-466-3575,0,0,산부인과 가정의학과 피부과,
1997,남동구,의원,한사랑가정의원,인천광역시 남동구 장승로 13-1 (만수동),032-472-7272,0,0,가정의학과,
1998,남동구,의원,한사랑의원,"인천광역시 남동구 만수로 107, 2층 (만수동, 은성프라자)",032-466-8275,0,0,내과 소아청소년과 이비인후과 방사선종양학과 피부과 병리과 비뇨의학과 정형외과,
1999,남동구,의원,한사랑이비인후과의원,"인천광역시 남동구 논고개로123번길 17, 404호 (논현동, 아이플렉스)",032-438-0074,0,0,이비인후과 내과 소아청소년과,
2000,남동구,한의원,한음한방신경정신과한의원,"인천광역시 남동구 성말로 10, 효명프라자 401호 (구월동)",032-421-8576,0,0,한방신경정신과,
2001,남동구,의원,한희연소아청소년과의원,"인천광역시 남동구 만수서로 62, 401,402호 (만수동)",032-245-3700,0,0,피부과 이비인후과 소아청소년과 내과,
2002,남동구,한의원,함소아한의원,"인천광역시 남동구 예술로 126, 링크126 7층 702호 (구월동)",032-434-3001,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 사상체질과 침구과,
2003,남동구,한의원,해님달님한의원,"인천광역시 남동구 서창남순환로216번길 17, 302호 (서창동, 스카이플러스)",032-461-1110,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
2004,남동구,치과의원,해맑은치과의원,"인천광역시 남동구 방축로 503, 304호 (간석동, 우성A상가)",032-421-2804,0,0,치과,
2005,남동구,한의원,해솜한의원,"인천광역시 남동구 경인로 520, 302호 (간석동, 탑프라자)",032-427-7533,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
2006,남동구,의원,해오름마취통증의학과의원,"인천광역시 남동구 에코중앙로 152, 3층, 4층 전체호 (논현동)",032-431-4310,0,0,가정의학과 소아청소년과 마취통증의학과 정형외과,
2007,남동구,한의원,해율한의원,"인천광역시 남동구 인하로 497-8, 2층 (구월동, 오아시스빌딩)",032-437-3775,0,0,침구과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
2008,남동구,한의원,해인한의원,"인천광역시 남동구 구월로372번길 93, 201호 (만수동)",032-472-2468,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방재활의학과 침구과,
2009,남동구,한의원,행림한의원,"인천광역시 남동구 인하로489번길 28, 5층 505호 (구월동, 로데오프라자21)",032-431-0110,0,0,한방내과 한방소아과 한방안·이비인후·피부과 사상체질과 한방부인과 한방신경정신과 침구과 한방재활의학과,
2010,남동구,의원,행복드림의원,"인천광역시 남동구 호구포로 808, 수정빌딩 601,602호 (구월동)",032-467-0467,0,0,정신건강의학과 외과 마취통증의학과 내과,
2011,남동구,치과의원,행복을심는치과의원,"인천광역시 남동구 구월남로 228, 401호 (구월동, 컨스타빌딩)",032-464-2050,0,0,치과 구강악안면외과 치과교정과,
2012,남동구,치과의원,행복한쥬니어치과의원,"인천광역시 남동구 호구포로 818, 5층 503호 (구월동, 퍼스트하임프라자)",032-862-7528,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2013,남동구,치과의원,행복한치과의원,"인천광역시 남동구 청능대로718번길 7, 210호 (논현동, 소래풍림상가)",032-442-2828,0,0,치과 구강악안면외과 치과보철과 소아치과 치주과 치과보존과 구강내과 예방치과,
2014,남동구,치과의원,행복한치과의원,"인천광역시 남동구 구월남로 198, 302호 (구월동, 트인프라자)",032-432-2833,0,0,치과,
2015,남동구,한의원,향림한의원,"인천광역시 남동구 소래역로 46, 202호 (논현동, 청호빌딩)",032-442-4793,0,0,한방내과 사상체질과 한방안·이비인후·피부과 한방부인과 한방신경정신과 침구과 한방소아과 한방재활의학과,
2016,남동구,의원,향촌사랑내과의원,"인천광역시 남동구 만수서로 56, 303호 (만수동, 향촌메디칼)",032-462-3377,0,0,내과 소아청소년과 이비인후과,
2017,남동구,한의원,향촌한의원,"인천광역시 남동구 만수로 47, 403,404호 (만수동)",032-461-3858,0,0,한방내과 한방소아과 한방부인과 한방안·이비인후·피부과 사상체질과 침구과 한방신경정신과 한방재활의학과,
2018,남동구,의원,허니즈의원,"인천광역시 남동구 인하로489번길 10, 시티프라자 2층 201호 (구월동)",032-427-7701,0,0,피부과 성형외과,
2019,남동구,치과의원,허브치과의원,"인천광역시 남동구 만수로 31-1, 2층 (만수동)",032-473-2875,0,0,치과,
2020,남동구,의원,현내과의원,"인천광역시 남동구 만수로 39, A동 3층 4호 (만수동, 만수쇼핑)",032-469-7733,0,0,내과,
2021,남동구,의원,현대정형외과의원,"인천광역시 남동구 구월로 300-1, 1,2,4,5층 (만수동)",032-466-7585,9,24,정형외과 신경외과 외과 내과 소아청소년과 피부과 비뇨의학과,
2022,남동구,치과의원,현대치과보철과치과의원,"인천광역시 남동구 장승남로 51, 6층 (만수동, 새한빌딩)",032-462-2872,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과 치과,
2023,남동구,한의원,형통한의원,"인천광역시 남동구 장승남로 51, 4층 (만수동, 새한빌딩)",032-462-1075,0,0,한방내과 한방안·이비인후·피부과 사상체질과 침구과 한방신경정신과 한방부인과 한방소아과 한방재활의학과,
2024,남동구,한의원,호구포한의원,"인천광역시 남동구 논현로 42, 3층 304호, 303호일부호 (논현동, 제일프라자)",032-432-1101,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 침구과 한방재활의학과 사상체질과,
2025,남동구,의원,홍피부과의원,"인천광역시 남동구 만수로 43, 4층 (만수동, 가양쇼핑)",032-463-9107,0,0,피부과,
2026,남동구,치과의원,화이트드림치과의원,"인천광역시 남동구 인하로489번길 4, 맨하탄빌딩 8층 (구월동)",032-219-2879,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
2027,남동구,치과의원,화이트펄치과의원,"인천광역시 남동구 논고개로 61, 404호 (논현동, 라피에스타)",032-423-2879,0,0,치과 구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과,
2028,남동구,의원,화인마취통증의학과의원,"인천광역시 남동구 논고개로 80 (논현동, 나노프라자 401호)",032-429-8288,0,0,재활의학과 마취통증의학과 신경외과 정형외과,
2029,남동구,한의원,화접몽한의원,"인천광역시 남동구 예술로 126, 3층 307호 (구월동)",032-215-7579,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
2030,남동구,의원,후생의원,인천광역시 남동구 경인로 772 (간석동),032-522-0077,0,0,심장혈관흉부외과 피부과 내과 소아청소년과 신경과,
2031,남동구,한의원,후한의원,"인천광역시 남동구 인하로489번길 4, 3층 일부호 (구월동, 맨하탄빌딩)",032-715-8073,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
2032,남동구,의원,휴내과의원,"인천광역시 남동구 인하로 497-5, 푸른세상안과 7층 701호 8층 801호 (구월동)",032-437-5111,0,0,영상의학과 이비인후과 소아청소년과 산부인과 내과,
2033,남동구,치과의원,휴먼치과의원,"인천광역시 남동구 만수서로 52, 쓰리제이프라자 302,303호 (만수동)",032-463-2080,0,0,치과,
2034,남동구,한의원,휴한의원,"인천광역시 남동구 인하로507번길 4, 4층 401일부호 (구월동)",032-429-9754,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
2035,남동구,치과의원,희망모아치과의원,"인천광역시 남동구 남동대로 892, 5층 (간석동, 일주빌딩)",032-422-2282,0,0,치과,
2036,남동구,치과의원,희망치과의원,인천광역시 남동구 남동대로 883 (간석동),032-431-2875,0,0,소아치과 치주과,
2037,남동구,요양병원(일반요양병원),가온요양병원,"인천광역시 남동구 남동대로 797, 가온 요양병원 (구월동)",032-212-2001,35,192,한방내과 재활의학과 이비인후과 소아청소년과 외과 정신건강의학과 내과,
2038,남동구,한방병원,구월한방병원,"인천광역시 남동구 호구포로 832, 1~3층 (구월동)",032-462-7575,19,62,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과 정형외과 내과,
2039,남동구,병원,국제바로병원,"인천광역시 남동구 석정로 518, 2층일부~9층 (간석동)",032-722-8585,45,144,직업환경의학과 영상의학과 비뇨의학과 피부과 소아청소년과 마취통증의학과 신경외과 정형외과 외과 내과,
2040,남동구,병원,글로벌365mc병원,"인천광역시 남동구 예술로 138, 이토타워 413~422호 (구월동)",1577-3653,11,30,가정의학과 외과,
2041,남동구,한방병원,기운찬한방병원,"인천광역시 남동구 인주대로 593, 9,10,11층 (구월동)",1833-3966,20,74,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과 가정의학과 재활의학과 신경외과 정형외과 내과,
2042,남동구,요양병원(일반요양병원),나은요양병원,"인천광역시 남동구 소래역남로16번길 20, 둘리프라자 (논현동)",032-710-6001,35,200,내과 신경과 재활의학과 가정의학과 한방내과 한방재활의학과 침구과,
2043,남동구,병원,대찬병원,"인천광역시 남동구 인주대로 590, 1층일부, 2~8층, 9층일부 (구월동)",1522-3266,26,99,가정의학과 영상의학과 마취통증의학과 신경외과 정형외과 외과 신경과 내과,
2044,남동구,요양병원(일반요양병원),더행복요양병원,"인천광역시 남동구 미래로 45, 벤처빌딩 2,3,4,5,7층 (구월동)",032-431-8585,34,185,한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과 가정의학과 비뇨의학과 피부과 이비인후과 마취통증의학과 심장혈관흉부외과 신경외과 정형외과 외과 정신건강의학과 신경과 내과,
2045,남동구,요양병원(일반요양병원),라이온요양병원,"인천광역시 남동구 경인로 520, 탑프라자2 5,6층일부7~10층 (간석동)",032-426-7575,47,256,한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과 가정의학과 재활의학과 마취통증의학과 정신건강의학과 신경과 내과,
2046,남동구,요양병원(일반요양병원),라임요양병원,인천광역시 남동구 구월로 135 (간석동),032-434-9993,42,238,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과 가정의학과 재활의학과 비뇨의학과 피부과 심장혈관흉부외과 신경외과 정형외과 외과 정신건강의학과 신경과 내과,
2047,남동구,병원,모두병원,"인천광역시 남동구 논고개로 88, 외 논고개로90 3층호 (논현동, 지하1층전부,1층일부,2,3,4,5,6,7층전부)",1588-0255,15,65,영상의학과 마취통증의학과 정형외과 내과,
2048,남동구,병원,미추홀병원,인천광역시 남동구 남동대로799번길 25 (구월동),032-430-6200,52,237,한방내과 재활의학과 신경과 내과,
2049,남동구,요양병원(일반요양병원),봄날요양병원,인천광역시 남동구 인주대로 806 (구월동),032-464-9101,36,189,내과 가정의학과 신경과 비뇨의학과 정신건강의학과 소아청소년과 피부과 한방내과 한방소아과 한방부인과 한방안·이비인후·피부과 한방재활의학과 한방신경정신과 사상체질과 침구과,
2050,남동구,병원,브래덤재활병원,"인천광역시 남동구 예술로192번길 36 (구월동, 지하1층~지하3층, 지상1층일부, 2층~9층)",032-456-7600,38,164,내과 가정의학과 신경과 재활의학과,
2051,남동구,요양병원(일반요양병원),뿌리요양병원,"인천광역시 남동구 앵고개로934번길 43, 뿌리요양병원 (논현동)",032-431-7979,63,373,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과 예방의학과 응급의학과 가정의학과 결핵과 재활의학과 비뇨의학과 피부과 이비인후과 소아청소년과 산부인과 마취통증의학과 성형외과 심장혈관흉부외과 신경외과 정형외과 외과 정신건강의학과 신경과 내과,
